1	Brasserie Piedboeuf (AB InBev)
2	Brouwerij Strubbe
3	Brouwerij Duvel Moortgat
4	Brouwerij Anders for GIBRIT
5	Brouwerij Strubbe for Bierfirma Den Haene
6	Brasserie St. Jean
7	Brouwerij Anders for Nonneke
8	Brouwerij du Bocq
9	De Proefbrouwerij for Brouwerij Slaapmutske
10	Microbrewery Den Triest
11	Geuzestekerij De Cam
12	Brasserie Ellezelloise
13	Brasserie de Jandrain-Jandrenouille
14	Brouwerij Belle-Vue (AB InBev)
15	Brouwerij Engilsen
16	Microbrewery Achilles
17	Brouwerij Rodenbach
18	Brasserie Dupont for Kunstencentrum Vooruit
19	Affligem Brewery (Heineken)
20	Brouwerij Liefmans
21	Brouwerij Walrave
22	De Proefbrouwerij for bierfirma Lesage
23	Brouwerij Palm for Group John Martin
24	Brouwerij Bockor
25	Brouwerij De Graal for Hopduvel Gent
26	Stadsbrouwerij Gruut
27	for bierfirma Vacas
28	De Proefbrouwerij for Het Hinkelspel
29	Brouwerij De Graal for Brouwerij De Kassei
30	Brouwerij Slagmuylder
31	Brouwerij Dilewyns
32	t Hofbrouwerijke for bierfirma Montaignu
33	De Proefbrouwerij for bierfirma BVG
34	Brouwerij De Graal
35	De Proefbrouwerij for Oude Brouwerij van Zonnegem vzw
36	Scottish & Newcastle for Group John Martin
37	Brasserie la Botteresse de Sur-les-bois
38	Authentique Brasserie
39	Brouwerij Van Steenberge for Paeleman
40	Huisbrouwerij de 3 vaten
41	Brouwerij Jessenhofke by De Proefbrouwerij
42	Brasserie Saint-Monon
43	Brasserie Les 3 Fourquets commissioned by Confrérie du Tchesté de Neufchâteau
44	Brasserie de Silenrieux
45	De Proefbrouwerij for The Musketeers
46	Antwerpse Brouw Compagnie
47	Brouwerij Haacht
48	Hanssens Artisanaal
49	Brouwerij Slaghmuylder
50	Brouwerij De Graal for Bryggja
51	Brouwerij Vissenaken
52	Scheldebrouwerij
53	De proefbrouwerij for Verstraeten H&S
54	Brouwerij De Smedt commissioned by bierfirma Fisser
55	Brouwerij De Vlier for Promaco Vision
56	Brouwerij De Graal for bierfirma Vacas
57	Gueuzerie Tilquin
58	Brouwersverzet by Brouwerij Gulden Spoor
59	Brouwerij Bavik for “Mout- en Brouwhuis De Snoek”
60	De Proefbrouwerij commissioned by Brouwerij Pirlot
61	Alken-Maes (Heineken) (previously in Brouwerij De Gouden Boom)
62	De Proefbrouwerij for Microbrewery Achilles
63	Brouwerij Alvinne
64	Brouwerij Verhaeghe
65	De Proefbrouwerij for bierfirma Slaapmutske
66	Brasserie d'Ecaussinnes
67	Brouwerij Kerkom by Brouwerij Sint-Jozef
68	Scheldebrouwerij for Hobbybrouwerij Het Nest
